nombre campo banda HJD idEpoc lineas xmin xmax ymin ymax magmax magmin
v20100422_00635 b278 H 2455309.7351133 1 703822 3 12769.33 3.38 15648.4 17.7 10.767
v20100422_00647 b278 Ks 2455309.73733315 1 628651 3 12770.17 4.79 15650.45 17.377 9.945
v20100422_00659 b278 J 2455309.73959792 1 651950 3.14 12768.9 5.64 15652.7 18.267 10.847
v20100422_00707 b279 H 2455309.75675049 1 769546 3.33 12769.38 4.59 15650.05 17.71 10.794
v20100422_00719 b279 Ks 2455309.7589699 1 733213 3.13 12768.27 4.83 15650.94 17.441 10.028
v20100422_00731 b279 J 2455309.76120237 1 729154 3.29 12770.43 4.84 15652.23 18.233 10.735
v20100511_00550 b279 Ks 2455328.75649563 2 653319 3 12776.45 4.6 15653.18 17.326 10.094
v20100517_00732 b278 Ks 2455334.81554968 2 482076 3 12768.99 4.98 15650.55 17.214 10.001
v20100825_00436 b279 Ks 2455434.65834223 3 668316 3 12772.45 3.63 15655.45 17.313 10.179
v20100905_00265 b278 Ks 2455445.55984062 3 442920 3.34 12769.3 5.42 15653.02 17.079 9.832
v20100911_00292 b278 Ks 2455451.57393543 4 624241 3 12770.1 3.45 15651.22 17.273 9.825
v20110806_00687 b278 Ks 2455780.70154508 5 507457 3.07 12763.4 3.45 15639.41 17.196 9.684
v20110814_00386 b278 Y 2455788.60487623 1 671684 3 12767.19 5.4 15647.88 18.665 10.923
v20110814_00398 b278 Z 2455788.60897038 1 605142 3.11 12762.3 5.49 15638.32 18.988 11.085
v20110814_00434 b279 Y 2455788.62083129 1 614957 3 12768.28 4.55 15643.83 18.542 10.916
v20110814_00446 b279 Z 2455788.624558 1 591506 3 12766.45 4.56 15644.38 18.868 11.126
v20110820_00806 b279 Ks 2455794.69893252 4 487118 3.01 12767.34 4.56 15644.77 17.179 9.583
v20110901_00588 b278 Ks 2455806.59149225 6 661490 3.36 12763.27 3.33 15639.04 17.252 10
v20110913_00160 b279 Ks 2455818.52390016 5 718474 3 12766.54 4.94 15647.47 17.309 9.932
v20110915_00335 b278 Ks 2455820.56199467 7 743085 3.45 12760.03 3.68 15639.55 17.32 10.275
v20110919_00569 b278 Ks 2455824.58287128 8 638344 3.52 12763.66 4.75 15642.82 17.261 9.906
v20110924_00484 b279 Ks 2455829.59314994 6 579779 2.99 12768.35 4.68 15645.08 17.217 9.856
v20110929_00248 b279 Ks 2455834.55712109 7 388359 3.02 12769.56 5.75 15645.75 16.974 9.512
v20111004_00119 b278 Ks 2455839.52441602 9 701802 3.07 12762.76 4.58 15641.8 17.301 9.947
v20111009_00455 b279 Ks 2455844.54941545 8 569935 3.07 12768.21 5.01 15644.31 17.25 9.9
v20111012_00299 b278 Ks 2455847.54621465 10 395576 3.58 12762.52 5.53 15639.29 17.009 9.787
v20111023_00143 b279 Ks 2455858.51018585 9 479113 3.13 12767.53 4.68 15643.04 17.178 10.001
v20120317_00428 b278 Ks 2456004.79832905 11 617636 3.32 12761.15 5.48 15644.23 17.237 9.606
v20120318_00681 b279 Ks 2456005.8355524 10 623949 3.35 12762.86 4.77 15643.18 17.271 9.582
v20120402_00470 b279 Ks 2456020.7677059 11 666362 3.08 12760.38 5.08 15644.28 17.303 10.127
v20120402_00542 b278 Ks 2456020.78712759 12 658548 3.05 12762.29 4.63 15647.31 17.296 9.839
v20120610_00366 b278 Ks 2456089.68388841 13 640116 3.8 12762.49 5.57 15641.31 17.295 9.642
v20120610_00426 b279 Ks 2456089.7007663 12 686892 3.16 12765.3 4.7 15644.23 17.353 9.957
v20120615_00418 b278 Ks 2456094.64573887 14 605205 3.34 12764.18 5.59 15641.31 17.286 9.82
v20120615_00526 b279 Ks 2456094.67810458 13 665944 3.09 12765.31 3.02 15643.44 17.32 10.067
v20120616_00224 b278 Ks 2456095.61755661 15 562969 3.57 12761.01 3.49 15644.43 17.269 9.737
v20120616_00284 b279 Ks 2456095.63274054 14 540375 3.53 12765.07 4.53 15645.39 17.182 9.78
v20120623_00164 b278 Ks 2456102.57052638 16 628850 3.02 12760.95 3.29 15644.17 17.292 9.657
v20120623_00224 b279 Ks 2456102.58549545 15 641575 3.1 12762.98 3.03 15643.28 17.294 9.808
v20120623_00680 b279 Ks 2456102.73475181 16 635944 3.04 12767.7 4.59 15643.5 17.295 9.6
v20120627_00423 b279 Ks 2456106.7700705 17 537614 3.27 12765.03 4.33 15643.45 17.164 9.57
v20120630_00301 b279 Ks 2456109.64102519 18 667654 3.34 12764.92 4.65 15644.38 17.313 10.16
v20120703_00760 b278 Ks 2456112.71944072 17 571235 3.17 12761.42 5.71 15640.41 17.282 9.778
v20120704_00500 b279 Ks 2456113.58834037 19 509403 3.15 12762.73 4.77 15641.09 17.199 9.872
v20120705_00507 b278 Ks 2456114.5817467 18 575515 4.22 12762.74 5.78 15641.33 17.283 9.773
v20120705_00687 b279 Ks 2456114.62605421 20 597962 3.37 12766.08 5.68 15643.41 17.302 9.9
v20120706_00416 b278 Ks 2456115.59726817 19 656150 3.18 12763.56 4.91 15643.46 17.339 9.873
v20120706_00476 b279 Ks 2456115.61282453 21 685139 3.17 12765.27 4.53 15643.16 17.356 9.936
v20120716_00817 b278 Ks 2456125.66009827 20 417767 3.41 12763.41 4.69 15641.83 17.138 9.646
v20120716_01069 b279 Ks 2456125.72347952 22 495241 3.29 12765.8 4.56 15641.36 17.175 10
v20120717_00537 b278 Ks 2456126.59386375 21 630968 3.23 12761.88 4.88 15643.29 17.276 10.035
v20120718_00222 b278 Ks 2456127.53466249 22 634991 3.23 12766.99 3.88 15644.03 17.257 10.136
v20120718_00426 b279 Ks 2456127.58678205 23 632580 3.56 12765.09 5.22 15648.2 17.282 9.816
v20120719_00337 b278 Ks 2456128.67174937 23 307791 5.02 12768.94 5.77 15644.71 16.924 9.618
v20120720_00283 b278 Ks 2456129.66305532 24 634253 3.05 12761.7 5.04 15640.36 17.316 9.818
v20120720_00343 b279 Ks 2456129.67719471 24 651362 3.1 12766.81 5.08 15643.3 17.328 9.91
v20120721_00481 b278 Ks 2456130.6919066 25 601161 3.14 12763.06 5.47 15641.93 17.272 9.785
v20120723_00624 b279 Ks 2456132.64440217 25 517778 3.8 12764.12 6.09 15644.71 17.249 9.839
v20120724_00669 b279 Ks 2456133.71639878 26 688264 3.18 12765.09 5.36 15645.88 17.354 10.123
v20120801_00478 b278 Ks 2456141.60817285 26 610892 3.03 12762.18 3.8 15640.11 17.32 9.795
v20120804_00181 b278 Ks 2456144.51074063 27 492068 3.25 12764.36 3.57 15651.28 17.166 9.913
v20120804_00853 b279 Ks 2456144.6836307 27 476841 3.64 12766.43 4.89 15642.96 17.11 9.727
v20120806_00355 b279 Ks 2456146.70396897 28 369445 3.68 12766.98 4.75 15646.93 16.961 9.017
v20120815_00152 b278 Ks 2456155.52380353 28 599415 3.93 12764.11 3.77 15650.33 17.293 9.614
v20120817_00296 b278 Ks 2456157.565304 29 352799 3.47 12762.69 6.07 15645.36 17.119 9.521
v20120817_00632 b278 Ks 2456157.67992577 30 265719 3.46 12762.74 5.26 15643.09 16.523 8.501
v20120818_00740 b278 Ks 2456158.68093695 31 409125 4.09 12765.68 4.85 15646.88 17.099 9.476
